file_name,gt,yolo,detr,frcnn,blip2,gemma_e2b,gemma_e4b,yolo_var,detr_var,frcnn_var,blip2_var,gemma_e2b_var,gemma_e4b_var,yolo_lat_ms,detr_lat_ms,frcnn_lat_ms,blip2_lat_ms,gemma_e2b_lat_ms,gemma_e4b_lat_ms
000000161978.jpg,14,16,20,20,3,10,6,0.0,0.0,0.0,0.0,0.0,0.0,11.36448374018073,49.768329598009586,36.28591075539589,304.44733472540975,628.2312851399183,497.1704622730613
000000216296.jpg,3,3,3,3,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,11.409250553697348,49.81167847290635,36.39176860451698,304.0838339366019,456.7807777784765,505.44034503400326
000000113720.jpg,5,4,5,4,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,11.310779955238104,49.760558642446995,36.30810836330056,305.09083857759833,448.31807678565383,495.8759406581521
000000042070.jpg,1,0,1,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,11.394986417144537,49.8881577514112,31.31112502887845,300.92160450294614,446.6672223061323,521.2654168717563
000000032081.jpg,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,11.764773167669773,49.94743736460805,32.59207308292389,304.17080549523234,448.0114900507033,493.3312078937888
000000084241.jpg,3,4,3,3,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,10.968198534101248,49.46601903066039,37.68680337816477,302.93069779872894,447.81726179644465,493.127116933465
000000156924.jpg,2,3,2,3,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,11.900875717401505,49.77901000529528,34.669279120862484,302.39962972700596,446.92953303456306,492.6085136830807
000000213593.jpg,2,3,5,4,0,6,5,0.0,0.0,0.0,0.0,0.0,0.0,11.017679702490568,49.80867216363549,34.76244164630771,377.85546761006117,450.15087351202965,497.99394188448787
000000147729.jpg,9,5,12,6,3,7,6,0.0,0.0,0.0,0.0,0.0,0.0,11.989229824393988,49.98318664729595,32.54218818619847,302.1235871128738,446.77275186404586,492.64337169006467
000000365642.jpg,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,11.00378343835473,49.87814836204052,34.45531288161874,303.3296996727586,459.486769977957,494.7191788814962
